ticket_id,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_days
1,1929,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,3
2,1587,2 - Regular,Software,Request,1 - Minor,1 - Low,5
3,925,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
4,413,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,20
5,318,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1
6,858,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
7,1978,3 - Senior,Systems,Request,2 - Normal,3 - High,9
8,1209,4 - Management,Software,Request,2 - Normal,0 - Unassigned,15
9,887,2 - Regular,Software,Request,2 - Normal,2 - Medium,6
10,1780,3 - Senior,Access/Login,Request,2 - Normal,1 - Low,1
11,1349,3 - Senior,Software,Request,2 - Normal,3 - High,7
12,1893,2 - Regular,Systems,Request,2 - Normal,1 - Low,17
13,645,2 - Regular,Systems,Request,2 - Normal,3 - High,10
14,1492,4 - Management,Systems,Issue,2 - Normal,3 - High,4
15,1978,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,7
16,216,4 - Management,Software,Request,2 - Normal,0 - Unassigned,11
17,1586,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
18,1554,2 - Regular,Systems,Request,2 - Normal,2 - Medium,7
19,518,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,7
20,903,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0
21,588,4 - Management,Systems,Request,2 - Normal,3 - High,6
22,650,2 - Regular,Systems,Request,2 - Normal,2 - Medium,6
23,1435,3 - Senior,Systems,Request,2 - Normal,2 - Medium,14
24,1980,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
25,916,4 - Management,Hardware,Request,2 - Normal,3 - High,13
26,86,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,3
27,24,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
28,107,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5
29,197,2 - Regular,Systems,Request,2 - Normal,2 - Medium,20
30,233,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1
31,1574,1 - Junior,Systems,Request,2 - Normal,1 - Low,14
32,1706,2 - Regular,Systems,Request,2 - Normal,3 - High,13
33,496,2 - Regular,Systems,Request,2 - Normal,3 - High,7
34,1151,2 - Regular,Systems,Request,2 - Normal,1 - Low,5
35,1618,4 - Management,Access/Login,Issue,3 - Major,0 - Unassigned,0
36,1916,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
37,82,2 - Regular,Systems,Request,2 - Normal,3 - High,5
38,341,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0
39,1887,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
40,16,4 - Management,Systems,Request,2 - Normal,3 - High,11
41,1222,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,2
42,755,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5
43,1961,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,0
44,1350,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,13
45,1704,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,3
46,1865,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0
47,822,2 - Regular,Software,Request,2 - Normal,3 - High,5
48,1595,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0
49,1270,1 - Junior,Access/Login,Issue,4 - Critical,3 - High,0
50,1166,1 - Junior,Systems,Request,2 - Normal,2 - Medium,6
51,207,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,23
52,1758,2 - Regular,Software,Request,2 - Normal,3 - High,7
53,1506,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0
54,953,2 - Regular,Systems,Request,2 - Normal,3 - High,10
55,1246,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,8
56,1219,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
57,1726,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0
